pick,round,team_key,player_id,player_name,yahoo_points,our_score,delta_our_minus_yahoo
1,1,465.l.2354566.t.1,6743,Connor McDavid,0.0,740.9185344607207,740.9185344607207
2,1,465.l.2354566.t.2,6369,Leon Draisaitl,0.0,637.350639730351,637.350639730351
3,1,465.l.2354566.t.3,5980,Nathan MacKinnon,0.0,808.2195699325653,808.2195699325653
4,1,465.l.2354566.t.4,5425,Nikita Kucherov,0.0,772.8431597727301,772.8431597727301
5,1,465.l.2354566.t.5,6877,Kirill Kaprizov,0.0,639.914927840161,639.914927840161
6,1,465.l.2354566.t.6,7519,Cale Makar,0.0,585.3416100300194,585.3416100300194
7,1,465.l.2354566.t.7,7902,Brady Tkachuk,0.0,417.221537945787,417.221537945787
8,1,465.l.2354566.t.8,6391,David Pastrnak,0.0,666.0507492954264,666.0507492954264
9,1,465.l.2354566.t.9,5820,Connor Hellebuyck,,41.9154530632338,
10,1,465.l.2354566.t.10,6752,Mikko Rantanen,0.0,582.5539160042447,582.5539160042447
11,1,465.l.2354566.t.11,7109,Auston Matthews,0.0,708.7500570950536,708.7500570950536
12,1,465.l.2354566.t.12,7905,Quinn Hughes,0.0,528.040160056628,528.040160056628
13,1,465.l.2354566.t.13,6759,Kyle Connor,0.0,529.4612659360075,529.4612659360075
14,1,465.l.2354566.t.14,6374,William Nylander,0.0,587.0520564849687,587.0520564849687
15,2,465.l.2354566.t.14,5699,Andrei Vasilevskiy,,,
16,2,465.l.2354566.t.13,8279,Jack Hughes,0.0,579.9688182292699,579.9688182292699
17,2,465.l.2354566.t.12,6744,Jack Eichel,0.0,587.7702147492986,587.7702147492986
18,2,465.l.2354566.t.11,6448,Brayden Point,0.0,534.8597162478626,534.8597162478626
19,2,465.l.2354566.t.10,7541,Jake Oettinger,,46.70490518267186,
20,2,465.l.2354566.t.9,6750,Zach Werenski,0.0,,
21,2,465.l.2354566.t.8,6728,Artemi Panarin,0.0,657.3866943217268,657.3866943217268
22,2,465.l.2354566.t.7,7899,Rasmus Dahlin,0.0,369.82094410854097,369.82094410854097
23,2,465.l.2354566.t.6,6746,Mitch Marner,0.0,562.9122576543355,562.9122576543355
24,2,465.l.2354566.t.5,6368,Sam Reinhart,0.0,590.1664060008246,590.1664060008246
25,2,465.l.2354566.t.4,7908,Evan Bouchard,0.0,488.89970410003207,488.89970410003207
26,2,465.l.2354566.t.3,3737,Sidney Crosby,0.0,530.5146917502063,530.5146917502063
27,2,465.l.2354566.t.2,7163,Filip Gustavsson,,55.787951470427615,
28,2,465.l.2354566.t.1,5691,Filip Forsberg,0.0,557.1997689032694,557.1997689032694
29,3,465.l.2354566.t.1,6057,Jake Guentzel,0.0,565.5250003666278,565.5250003666278
30,3,465.l.2354566.t.2,8290,Matt Boldy,0.0,,
31,3,465.l.2354566.t.3,32763,Macklin Celebrini,0.0,399.09091782498234,399.09091782498234
32,3,465.l.2354566.t.4,7528,Nick Suzuki,0.0,,
33,3,465.l.2354566.t.5,4682,Victor Hedman,0.0,414.14422575131476,414.14422575131476
34,3,465.l.2354566.t.6,8643,Tim Stutzle,0.0,,
